Warning: total_len is larger than the maximum possible length. 
Setting total_len to the maximum possible length. 
Warning: access length of dataset by len(dataset) to get the actual length. 
Epoch [31/100] Train Loss: 0.0796, Train Accuracy: 0.9735, Val Loss: 0.0039, Val Accuracy: 1.0000
[0/63] Loss: 0.0779, Accuracy: 0.9766
[10/63] Loss: 0.0743, Accuracy: 0.9737
[20/63] Loss: 0.0779, Accuracy: 0.9751
[30/63] Loss: 0.0856, Accuracy: 0.9720
[40/63] Loss: 0.0838, Accuracy: 0.9724
[50/63] Loss: 0.0801, Accuracy: 0.9744
[60/63] Loss: 0.0825, Accuracy: 0.9728
[0/16] Loss: 0.0059, Accuracy: 1.0000
[10/16] Loss: 0.0075, Accuracy: 1.0000
Epoch [32/100] Train Loss: 0.0813, Train Accuracy: 0.9734, Val Loss: 0.0075, Val Accuracy: 1.0000
[0/63] Loss: 0.1430, Accuracy: 0.9297
[10/63] Loss: 0.0997, Accuracy: 0.9673
[20/63] Loss: 0.0800, Accuracy: 0.9743
[30/63] Loss: 0.0790, Accuracy: 0.9725
[40/63] Loss: 0.0770, Accuracy: 0.9745
[50/63] Loss: 0.0771, Accuracy: 0.9744
[60/63] Loss: 0.0794, Accuracy: 0.9735
[0/16] Loss: 0.0041, Accuracy: 1.0000
[10/16] Loss: 0.0040, Accuracy: 1.0000
Epoch [33/100] Train Loss: 0.0810, Train Accuracy: 0.9734, Val Loss: 0.0040, Val Accuracy: 1.0000
[0/63] Loss: 0.1383, Accuracy: 0.9688
[10/63] Loss: 0.1088, Accuracy: 0.9673
[20/63] Loss: 0.0946, Accuracy: 0.9736
[30/63] Loss: 0.0914, Accuracy: 0.9725
[40/63] Loss: 0.0831, Accuracy: 0.9748
[50/63] Loss: 0.0766, Accuracy: 0.9773
[60/63] Loss: 0.0759, Accuracy: 0.9772
[0/16] Loss: 0.0037, Accuracy: 1.0000
[10/16] Loss: 0.0036, Accuracy: 1.0000
Epoch [34/100] Train Loss: 0.0749, Train Accuracy: 0.9774, Val Loss: 0.0035, Val Accuracy: 1.0000
[0/63] Loss: 0.1494, Accuracy: 0.9609
[10/63] Loss: 0.0612, Accuracy: 0.9830
